Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Number of Related Bills,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill,Related Bill
S. 2904,https://www.congress.gov/bill/116th-congress/senate-bill/2904,116th Congress (2019-2020),IOGAN Act,"Cortez Masto, Catherine [Sen.-D-NV]",Democratic,11/20/2019,Became Public Law No: 116-258.,12/23/2020,2,H.R.4355,H.R.4355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2746,https://www.congress.gov/bill/116th-congress/senate-bill/2746,116th Congress (2019-2020),Law Enforcement Suicide Data Collection Act,"Cortez Masto, Catherine [Sen.-D-NV]",Democratic,10/30/2019,Became Public Law No: 116-143.,06/16/2020,1,H.R.3735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2730,https://www.congress.gov/bill/116th-congress/senate-bill/2730,116th Congress (2019-2020),Drone Advisory Committee for the 21st Century Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,10/29/2019,Became Public Law No: 116-280.,12/31/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2710,https://www.congress.gov/bill/116th-congress/senate-bill/2710,116th Congress (2019-2020),A bill to prohibit the commercial export of covered munitions items to the Hong Kong Police Force.,"Merkley, Jeff [Sen.-D-OR]",Democratic,10/24/2019,Became Public Law No: 116-77.,11/27/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2683,https://www.congress.gov/bill/116th-congress/senate-bill/2683,116th Congress (2019-2020),Child Care Protection Improvement Act of 2020,"Burr, Richard [Sen.-R-NC]",Republican,10/23/2019,Became Public Law No: 116-279.,12/31/2020,2,H.R.3986,S.1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2661,https://www.congress.gov/bill/116th-congress/senate-bill/2661,116th Congress (2019-2020),National Suicide Hotline Designation Act of 2020,"Gardner, Cory [Sen.-R-CO]",Republican,10/22/2019,Became Public Law No: 116-172.,10/17/2020,2,H.R.4194,H.R.6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2638,https://www.congress.gov/bill/116th-congress/senate-bill/2638,116th Congress (2019-2020),Friendly Airports for Mothers Improvement Act,"Duckworth, Tammy [Sen.-D-IL]",Democratic,10/17/2019,Became Public Law No: 116-190.,10/30/2020,1,H.R.3362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2472,https://www.congress.gov/bill/116th-congress/senate-bill/2472,116th Congress (2019-2020),Neil A. Armstrong Test Facility Act,"Portman, Rob [Sen.-R-OH]",Republican,09/12/2019,Became Public Law No: 116-263.,12/30/2020,1,H.R.4790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2330,https://www.congress.gov/bill/116th-congress/senate-bill/2330,116th Congress (2019-2020),"Empowering Olympic, Paralympic, and Amateur Athletes Act of 2020","Moran, Jerry [Sen.-R-KS]",Republican,07/30/2019,Became Public Law No: 116-189.,10/30/2020,6,H.R.3303,S.132,H.R.7881,H.Con.Res.118,S.Con.Res.46,S.Con.Res.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2258,https://www.congress.gov/bill/116th-congress/senate-bill/2258,116th Congress (2019-2020),Criminal Antitrust Anti-Retaliation Act of 2019,"Grassley, Chuck [Sen.-R-IA]",Republican,07/24/2019,Became Public Law No: 116-257.,12/23/2020,1,H.R.8226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2249,https://www.congress.gov/bill/116th-congress/senate-bill/2249,116th Congress (2019-2020),A bill to allow the Deputy Administrator of the Federal Aviation Administration on the date of enactment of this Act to continue to serve as such Deputy Administrator.,"Wicker, Roger F. [Sen.-R-MS]",Republican,07/24/2019,Became Public Law No: 116-38.,08/02/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2216,https://www.congress.gov/bill/116th-congress/senate-bill/2216,116th Congress (2019-2020),TEAM Veteran Caregivers Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,07/23/2019,Became Public Law No: 116-278.,12/31/2020,1,H.R.6571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2193,https://www.congress.gov/bill/116th-congress/senate-bill/2193,116th Congress (2019-2020),CHARGE Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,07/18/2019,Became Public Law No: 116-160.,10/01/2020,1,H.R.8191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2174,https://www.congress.gov/bill/116th-congress/senate-bill/2174,116th Congress (2019-2020),Missing Persons and Unidentified Remains Act of 2019,"Cornyn, John [Sen.-R-TX]",Republican,07/18/2019,Became Public Law No: 116-277.,12/31/2020,1,H.R.8772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2163,https://www.congress.gov/bill/116th-congress/senate-bill/2163,116th Congress (2019-2020),Commission on the Social Status of Black Men and Boys Act,"Rubio, Marco [Sen.-R-FL]",Republican,07/18/2019,Became Public Law No: 116-156.,08/14/2020,3,H.R.1636,S.3985,H.R.7278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2107,https://www.congress.gov/bill/116th-congress/senate-bill/2107,116th Congress (2019-2020),Protecting America's Food and Agriculture Act of 2019,"Peters, Gary C. [Sen.-D-MI]",Democratic,07/11/2019,Became Public Law No: 116-122.,03/03/2020,1,H.R.4482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 2047,https://www.congress.gov/bill/116th-congress/senate-bill/2047,116th Congress (2019-2020),"A bill to provide for a 2-week extension of the Medicaid community mental health services demonstration program, and for other purposes.","Schumer, Charles E. [Sen.-D-NY]",Democratic,06/27/2019,Became Public Law No: 116-29.,07/05/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1982,https://www.congress.gov/bill/116th-congress/senate-bill/1982,116th Congress (2019-2020),Save Our Seas 2.0 Act,"Sullivan, Dan [Sen.-R-AK]",Republican,06/26/2019,Became Public Law No: 116-224.,12/18/2020,4,H.R.3969,S.2260,S.2364,S.2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1869,https://www.congress.gov/bill/116th-congress/senate-bill/1869,116th Congress (2019-2020),Secure Federal LEASEs Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,06/13/2019,Became Public Law No: 116-276.,12/31/2020,2,S.Con.Res.51,S.Con.Res.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1838,https://www.congress.gov/bill/116th-congress/senate-bill/1838,116th Congress (2019-2020),Hong Kong Human Rights and Democracy Act of 2019,"Rubio, Marco [Sen.-R-FL]",Republican,06/13/2019,Became Public Law No: 116-76.,11/27/2019,2,H.R.3289,H.R.3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1822,https://www.congress.gov/bill/116th-congress/senate-bill/1822,116th Congress (2019-2020),Broadband DATA Act,"Wicker, Roger F. [Sen.-R-MS]",Republican,06/12/2019,Became Public Law No: 116-130.,03/23/2020,2,H.R.4229,H.R.4229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1790,https://www.congress.gov/bill/116th-congress/senate-bill/1790,116th Congress (2019-2020),"National Defense Authorization Act 
for Fiscal Year 2020","Inhofe, James M. [Sen.-R-OK]",Republican,06/11/2019,Became Public Law No: 116-92.,12/20/2019,223,H.Con.Res.10,H.Con.Res.43,H.Res.39,H.Res.259,H.Res.269,H.Res.416,H.Res.417,H.R.135,H.R.136,H.R.224,H.R.226,H.R.227,H.R.246,H.R.295,H.R.297,H.R.317,H.R.563,H.R.571,H.R.663,H.R.676,H.R.680,H.R.1019,H.R.1033,H.R.1076,H.R.1094,H.R.1166,H.R.1388,H.R.1567,H.R.1863,H.R.1891,H.R.1911,H.R.1976,H.R.2003,H.R.2004,H.R.2016,H.R.2033,H.R.2037,H.R.2056,H.R.2091,H.R.2204,H.R.2226,H.R.2227,H.R.2249,H.R.2252,H.R.2254,H.R.2255,H.R.2265,H.R.2288,H.R.2326,H.R.2331,H.R.2345,H.R.2377,H.R.2397,H.R.2422,H.R.2432,H.R.2483,H.R.2512,H.R.2530,H.R.2554,H.R.2617,H.R.2618,H.R.2727,H.R.2739,H.R.2756,H.R.2790,H.R.2794,H.R.2796,H.R.2869,H.R.2880,H.R.2892,H.R.2938,H.R.2947,H.R.2954,H.R.2987,H.R.3014,H.R.3015,H.R.3034,H.R.3038,H.R.3045,H.R.3046,H.R.3065,H.R.3072,H.R.3087,H.R.3093,H.R.3132,H.R.3135,H.R.3137,H.R.3148,H.R.3166,H.R.3175,H.R.3176,H.R.3177,H.R.3190,H.R.3202,H.R.3206,H.R.3216,H.R.3227,H.R.3263,H.R.3309,H.R.3331,H.R.3372,H.R.3428,H.R.3476,H.R.3567,H.R.3588,H.R.3616,H.R.3638,H.R.3648,H.R.3678,H.R.3727,H.R.3801,H.R.4059,H.R.4084,H.R.4366,H.R.4367,H.R.4558,H.R.4746,H.R.5353,H.R.5378,S.Res.24,S.51,S.52,S.174,S.191,S.245,S.383,S.387,S.622,S.645,S.667,S.675,S.679,S.771,S.841,S.846,S.849,S.858,S.965,S.973,S.974,S.986,S.1044,S.1049,S.1092,S.1096,S.1143,S.1151,S.1152,S.1156,S.1174,S.1215,S.1218,S.1237,S.1269,S.1271,S.1287,S.1320,S.1383,S.1390,S.1413,S.1417,S.1427,S.1439,S.1467,S.1471,S.1474,S.1493,S.1500,S.1501,S.1529,S.1566,S.1589,S.1679,S.1680,S.1690,S.1739,S.1761,H.Res.758,H.R.535,H.R.553,H.R.2500,H.R.2626,H.R.5361,H.R.5543,H.R.5738,S.638,S.871,S.1148,S.1251,S.1372,S.1507,S.1582,S.1798,S.1799,S.1800,S.2052,S.2058,S.2109,S.2117,S.2133,S.2154,S.2248,S.2307,S.2351,S.2451,S.2494,S.2840,H.R.2500,H.R.2500,S.2852,S.3159,H.R.3840,H.R.5938,S.2234,H.R.3272,S.3080,H.R.2322,H.R.6395,H.R.7597,H.R.8237,H.R.8207,H.R.7596,H.R.8276
S. 1749,https://www.congress.gov/bill/116th-congress/senate-bill/1749,116th Congress (2019-2020),Protecting Affordable Mortgages for Veterans Act of 2019,"Sinema, Kyrsten [Sen.-D-AZ]",Democratic,06/05/2019,Became Public Law No: 116-33.,07/25/2019,2,H.R.1988,H.R.1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1694,https://www.congress.gov/bill/116th-congress/senate-bill/1694,116th Congress (2019-2020),One Small Step to Protect Human Heritage in Space Act,"Peters, Gary C. [Sen.-D-MI]",Democratic,05/23/2019,Became Public Law No: 116-275.,12/31/2020,1,H.R.3766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1693,https://www.congress.gov/bill/116th-congress/senate-bill/1693,116th Congress (2019-2020),National Flood Insurance Program Extension Act of 2019,"Kennedy, John [Sen.-R-LA]",Republican,05/23/2019,Became Public Law No: 116-19.,05/31/2019,3,H.R.2578,S.1520,S.1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1689,https://www.congress.gov/bill/116th-congress/senate-bill/1689,116th Congress (2019-2020),"A bill to permit States to transfer certain funds from the clean water revolving fund of a State to the drinking water revolving fund of the State in certain circumstances, and for other purposes.","Booker, Cory A. [Sen.-D-NJ]",Democratic,05/23/2019,Became Public Law No: 116-63.,10/04/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1678,https://www.congress.gov/bill/116th-congress/senate-bill/1678,116th Congress (2019-2020),Taiwan Allies International Protection and Enhancement Initiative (TAIPEI) Act of 2019,"Gardner, Cory [Sen.-R-CO]",Republican,05/23/2019,Became Public Law No: 116-135.,03/26/2020,1,H.R.4754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1646,https://www.congress.gov/bill/116th-congress/senate-bill/1646,116th Congress (2019-2020),"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in St. Augustine, Florida, as the ""Leo C. Chase Jr. Department of Veterans Affairs Clinic"".","Rubio, Marco [Sen.-R-FL]",Republican,05/23/2019,Became Public Law No: 116-168.,10/13/2020,1,H.R.2948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1436,https://www.congress.gov/bill/116th-congress/senate-bill/1436,116th Congress (2019-2020),A bill to make technical corrections to the computation of average pay under Public Law 110-279.,"Brown, Sherrod [Sen.-D-OH]",Democratic,05/13/2019,Became Public Law No: 116-21.,06/12/2019,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1380,https://www.congress.gov/bill/116th-congress/senate-bill/1380,116th Congress (2019-2020),Due Process Protections Act,"Sullivan, Dan [Sen.-R-AK]",Republican,05/08/2019,Became Public Law No: 116-182.,10/21/2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. 1379,https://www.congress.gov/bill/116th-congress/senate-bill/1379,116th Congress (2019-2020),Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019,"Burr, Richard [Sen.-R-NC]",Republican,05/08/2019,Became Public Law No: 116-22.,06/24/2019,2,H.R.269,S.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
